,ds,y
791,2017-03-01,54.65
792,2017-03-02,53.36
793,2017-03-03,55.72
794,2017-03-06,54.73
795,2017-03-07,54.61
796,2017-03-08,54.73
797,2017-03-09,54.61
798,2017-03-10,53.3
799,2017-03-13,50.1
800,2017-03-14,49.6
801,2017-03-15,50.1
802,2017-03-16,49.6
803,2017-03-17,50.63
804,2017-03-20,50.67
805,2017-03-21,50.14
806,2017-03-22,50.67
807,2017-03-23,50.14
808,2017-03-24,49.56
809,2017-03-27,50.12
810,2017-03-28,50.72
811,2017-03-29,50.12
812,2017-03-30,50.72
813,2017-03-31,51.36
814,2017-04-03,52.04
815,2017-04-04,53.08
816,2017-04-05,52.04
817,2017-04-06,53.08
818,2017-04-07,53.41
819,2017-04-10,54.79
820,2017-04-11,54.73
821,2017-04-12,54.79
822,2017-04-13,54.73
823,2017-04-17,54.79
824,2017-04-18,52.6
825,2017-04-19,54.79
826,2017-04-20,52.6
827,2017-04-21,52.43
828,2017-04-24,49.45
829,2017-04-25,49.37
830,2017-04-26,49.45
831,2017-04-27,49.37
832,2017-04-28,49.99
833,2017-05-01,50.41
834,2017-05-03,50.41
835,2017-05-04,49.31
836,2017-05-05,48.82
837,2017-05-08,46.61
838,2017-05-09,47.06
839,2017-05-10,46.61
840,2017-05-11,47.06
841,2017-05-12,48.09
842,2017-05-15,51.29
843,2017-05-16,51.21
844,2017-05-17,51.29
845,2017-05-18,51.21
846,2017-05-19,51.76
847,2017-05-22,53.35
848,2017-05-23,53.19
849,2017-05-24,53.35
850,2017-05-25,53.19
851,2017-05-26,53.29
852,2017-05-30,50.65
853,2017-05-31,52.25
854,2017-06-01,50.65
855,2017-06-02,49.4
856,2017-06-05,48.25
857,2017-06-06,48.11
858,2017-06-07,48.25
859,2017-06-08,48.11
860,2017-06-09,47.08
861,2017-06-12,47.18
862,2017-06-13,46.95
863,2017-06-14,47.18
864,2017-06-15,46.95
865,2017-06-16,45.47
866,2017-06-19,45.93
867,2017-06-20,43.98
868,2017-06-21,45.93
869,2017-06-22,43.98
870,2017-06-23,44.62
871,2017-06-26,44.09
872,2017-06-27,46.17
873,2017-06-28,44.09
874,2017-06-29,46.17
875,2017-06-30,46.45
876,2017-07-03,49.13
877,2017-07-05,49.13
878,2017-07-06,49.15
879,2017-07-07,47.58
880,2017-07-10,46.57
881,2017-07-11,46.68
882,2017-07-12,46.57
883,2017-07-13,46.68
884,2017-07-14,46.73
885,2017-07-17,47.66
886,2017-07-18,47.92
887,2017-07-19,47.66
888,2017-07-20,47.92
889,2017-07-21,48.34
890,2017-07-24,47.81
891,2017-07-25,49.19
892,2017-07-26,47.81
893,2017-07-27,49.19
894,2017-07-28,50.08
895,2017-07-31,51.99
896,2017-08-01,50.77
897,2017-08-02,51.99
898,2017-08-03,50.77
899,2017-08-04,52.09
900,2017-08-07,51.42
901,2017-08-08,52.18
902,2017-08-09,51.42
903,2017-08-10,52.18
904,2017-08-11,52.16
905,2017-08-14,51.29
906,2017-08-15,49.9
